time_s,well,pw_pa,q_m3s,qw_m3s,qo_m3s,qg_m3s
90720000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
90720000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
93312000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
93312000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
93312000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
93312000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
93312000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
95904000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
95904000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
95904000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
95904000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
95904000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
98496000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
98496000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
98496000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
98496000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
98496000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
101088000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
101088000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
101088000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
101088000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
101088000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
103680000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
103680000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
103680000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
103680000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
103680000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
106272000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
106272000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
106272000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
106272000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
106272000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
108864000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
108864000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
108864000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
108864000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
108864000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
111456000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
111456000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
111456000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
111456000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
111456000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
114048000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
114048000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
114048000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
114048000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
114048000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
116640000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
116640000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
116640000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
116640000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
116640000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
119232000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
119232000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
119232000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
119232000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
119232000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
121824000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
121824000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
121824000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
121824000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
121824000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
124416000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
124416000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
124416000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
124416000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
124416000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
127008000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
127008000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
127008000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
127008000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
127008000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
129600000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
129600000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
129600000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
129600000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
129600000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
132192000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
132192000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
132192000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
132192000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
132192000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
134784000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
134784000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
134784000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
134784000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
134784000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
137376000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
137376000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
137376000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
137376000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
137376000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
139968000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
139968000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
139968000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
139968000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
139968000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
142560000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
142560000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
142560000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
142560000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
142560000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
145152000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
145152000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
145152000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
145152000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
145152000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
147744000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
147744000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
147744000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
147744000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
147744000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
150336000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
150336000,PROD1,19000000,-1.31643519e-08,0,-1.31643519e-08,0
150336000,PROD2,19000000,-3.20972222e-08,0,-3.20972222e-08,0
150336000,PROD3,19000000,-3.20972222e-08,0,-3.20972222e-08,0
150336000,PROD4,19000000,-7.45266204e-09,0,-7.45266204e-09,0
152928000,INJ,19325000,8.33333333e-08,0,0,8.33333333e-08
