cell,i,j,k,x_m,y_m,z_m
305,5,5,1,0.11,0.11,0.03
306,6,5,1,0.13,0.11,0.03
307,7,5,1,0.15,0.11,0.03
308,8,5,1,0.17,0.11,0.03
309,9,5,1,0.19,0.11,0.03
310,10,5,1,0.21,0.11,0.03
311,11,5,1,0.23,0.11,0.03
312,12,5,1,0.25,0.11,0.03
313,13,5,1,0.27,0.11,0.03
314,14,5,1,0.29,0.11,0.03
315,0,6,1,0.01,0.13,0.03
316,1,6,1,0.03,0.13,0.03
317,2,6,1,0.05,0.13,0.03
318,3,6,1,0.07,0.13,0.03
319,4,6,1,0.09,0.13,0.03
320,5,6,1,0.11,0.13,0.03
321,6,6,1,0.13,0.13,0.03
322,7,6,1,0.15,0.13,0.03
323,8,6,1,0.17,0.13,0.03
324,9,6,1,0.19,0.13,0.03
325,10,6,1,0.21,0.13,0.03
326,11,6,1,0.23,0.13,0.03
327,12,6,1,0.25,0.13,0.03
328,13,6,1,0.27,0.13,0.03
329,14,6,1,0.29,0.13,0.03
330,0,7,1,0.01,0.15,0.03
331,1,7,1,0.03,0.15,0.03
332,2,7,1,0.05,0.15,0.03
333,3,7,1,0.07,0.15,0.03
334,4,7,1,0.09,0.15,0.03
335,5,7,1,0.11,0.15,0.03
336,6,7,1,0.13,0.15,0.03
337,7,7,1,0.15,0.15,0.03
338,8,7,1,0.17,0.15,0.03
339,9,7,1,0.19,0.15,0.03
340,10,7,1,0.21,0.15,0.03
341,11,7,1,0.23,0.15,0.03
342,12,7,1,0.25,0.15,0.03
343,13,7,1,0.27,0.15,0.03
344,14,7,1,0.29,0.15,0.03
345,0,8,1,0.01,0.17,0.03
346,1,8,1,0.03,0.17,0.03
347,2,8,1,0.05,0.17,0.03
348,3,8,1,0.07,0.17,0.03
349,4,8,1,0.09,0.17,0.03
350,5,8,1,0.11,0.17,0.03
351,6,8,1,0.13,0.17,0.03
352,7,8,1,0.15,0.17,0.03
353,8,8,1,0.17,0.17,0.03
354,9,8,1,0.19,0.17,0.03
355,10,8,1,0.21,0.17,0.03
356,11,8,1,0.23,0.17,0.03
357,12,8,1,0.25,0.17,0.03
358,13,8,1,0.27,0.17,0.03
359,14,8,1,0.29,0.17,0.03
360,0,9,1,0.01,0.19,0.03
361,1,9,1,0.03,0.19,0.03
362,2,9,1,0.05,0.19,0.03
363,3,9,1,0.07,0.19,0.03
364,4,9,1,0.09,0.19,0.03
365,5,9,1,0.11,0.19,0.03
366,6,9,1,0.13,0.19,0.03
367,7,9,1,0.15,0.19,0.03
368,8,9,1,0.17,0.19,0.03
369,9,9,1,0.19,0.19,0.03
370,10,9,1,0.21,0.19,0.03
371,11,9,1,0.23,0.19,0.03
372,12,9,1,0.25,0.19,0.03
373,13,9,1,0.27,0.19,0.03
374,14,9,1,0.29,0.19,0.03
375,0,10,1,0.01,0.21,0.03
376,1,10,1,0.03,0.21,0.03
377,2,10,1,0.05,0.21,0.03
378,3,10,1,0.07,0.21,0.03
379,4,10,1,0.09,0.21,0.03
380,5,10,1,0.11,0.21,0.03
381,6,10,1,0.13,0.21,0.03
382,7,10,1,0.15,0.21,0.03
383,8,10,1,0.17,0.21,0.03
384,9,10,1,0.19,0.21,0.03
385,10,10,1,0.21,0.21,0.03
386,11,10,1,0.23,0.21,0.03
387,12,10,1,0.25,0.21,0.03
388,13,10,1,0.27,0.21,0.03
389,14,10,1,0.29,0.21,0.03
390,0,11,1,0.01,0.23,0.03
391,1,11,1,0.03,0.23,0.03
392,2,11,1,0.05,0.23,0.03
393,3,11,1,0.07,0.23,0.03
394,4,11,1,0.09,0.23,0.03
395,5,11,1,0.11,0.23,0.03
396,6,11,1,0.13,0.23,0.03
397,7,11,1,0.15,0.23,0.03
398,8,11,1,0.17,0.23,0.03
399,9,11,1,0.19,0.23,0.03
400,10,11,1,0.21,0.23,0.03
401,11,11,1,0.23,0.23,0.03
402,12,11,1,0.25,0.23,0.03
403,13,11,1,0.27,0.23,0.03
404,14,11,1,0.29,0.23,0.03
405,0,12,1,0.01,0.25,0.03
